epoch,inclusion_loss,learning_rate
572,0.0013436126546370183,0.002
573,0.0013428709229318435,0.002
574,0.001342128810938648,0.002
575,0.0013413863155398603,0.002
576,0.0013406434335944673,0.002
577,0.0013399001619404678,0.002
578,0.0013391564973927014,0.002
579,0.0013384124367413174,0.002
580,0.0013376679767528863,0.002
581,0.0013369231141715943,0.002
582,0.0013361778457168937,0.002
583,0.0013354321680828587,0.002
584,0.0013346860773318266,0.002
585,0.001333939569151649,0.002
586,0.001333192640026623,0.002
587,0.001332445286426594,0.002
588,0.001331697504805711,0.002
589,0.0013309492916064708,0.002
590,0.0013302006432622194,0.002
591,0.0013294515561848798,0.002
592,0.0013287020267631928,0.002
593,0.001327952051371451,0.002
594,0.0013272016263631285,0.002
595,0.001326450748067625,0.002
596,0.0013256994127914155,0.002
597,0.0013249476168253724,0.002
598,0.0013241953564361098,0.002
599,0.0013234426278643885,0.002
600,0.00132268942721486,0.002
601,0.0013219357502406385,0.002
602,0.001321181593009238,0.002
603,0.001320426951598704,0.002
604,0.0013196718220688554,0.002
605,0.0013189162004624726,0.002
606,0.001318160082802113,0.002
607,0.0013174034650870557,0.002
608,0.0013166463426994238,0.002
609,0.001315888710876389,0.002
610,0.001315130565435607,0.002
611,0.001314371902209063,0.002
612,0.0013136127171406674,0.002
613,0.0013128530060322983,0.002
614,0.0013120927646365483,0.002
615,0.001311331988690909,0.002
616,0.0013105706739025798,0.002
617,0.0013098088159473084,0.002
618,0.0013090464104724595,0.002
619,0.0013082834531010885,0.002
620,0.0013075199394215716,0.002
621,0.001306755864988877,0.002
622,0.001305991225334953,0.002
623,0.0013052260159592953,0.002
624,0.0013044602323237656,0.002
625,0.001303693869854742,0.002
626,0.001302926923947713,0.002
627,0.0013021593899606749,0.002
628,0.001301391263215064,0.002
629,0.0013006225390019526,0.002
630,0.0012998532125764824,0.002
631,0.0012990832791536233,0.002
632,0.001298312733910584,0.002
633,0.0012975415719896017,0.002
634,0.0012967697884924186,0.002
635,0.0012959973784802167,0.002
636,0.0012952243369781834,0.002
637,0.0012944506589729714,0.002
638,0.0012936763394102771,0.002
639,0.001292901373197033,0.002
640,0.0012921257552026683,0.002
641,0.001291349480254643,0.002
642,0.0012905725431381204,0.002
643,0.0012897949386538176,0.002
644,0.0012890166617857204,0.002
645,0.0012882377072569772,0.002
646,0.0012874580697033035,0.002
647,0.0012866777437285665,0.002
648,0.0012858967238842062,0.002
649,0.0012851150046697343,0.002
650,0.0012843325805446733,0.002
651,0.0012835494459257455,0.002
652,0.0012827655951792906,0.002
653,0.0012819810223048415,0.002
654,0.0012811957205416402,0.002
655,0.001280409683923752,0.002
656,0.0012796229065077276,0.002
657,0.001278835382313818,0.002
658,0.0012780471053337285,0.002
659,0.0012772580695206322,0.002
660,0.0012764682687850925,0.002
661,0.0012756776969991743,0.002
662,0.0012748863479943187,0.002
663,0.0012740942155558535,0.002
664,0.0012733012934253488,0.002
665,0.001272507575304488,0.002
666,0.0012717130548483796,0.002
667,0.0012709177256641016,0.002
668,0.0012701215813144197,0.002
669,0.0012693246153139069,0.002
670,0.001268526821125671,0.002
671,0.0012677281921641926,0.002
672,0.0012669287217960705,0.002
673,0.0012661284033355553,0.002
674,0.0012653272300309042,0.002
675,0.0012645251949513644,0.002
676,0.0012637222911986796,0.002
677,0.0012629185118533054,0.002
678,0.0012621138499454222,0.002
